Full Address,Latitude,Longitude,category,rating,no_of_rating,location,phone_no,type
Tamilnadu Shopping Center Tamil Nadu,8.0905931,77.5493098,General store,3.8,29,Tamil Nadu,094873 72179,"In-store pick-up,Delivery"
"Madurai City Famous jigarthanda Chennai, Tamil Nadu",13.0641665,80.2143413,Ice Cream,4.3,4,"Chennai, Tamil Nadu",,Delivery
"Palaniappa Textiles & Readymades Chennai, Tamil Nadu",12.9506999,80.1449648,Clothing store,4.1,512,"Chennai, Tamil Nadu",044 2265 4589,Delivery
"Madurai Famous Jigarthanda LLP - Since 1977 Rajakilpakkam, Chennai, Tamil Nadu",12.9177246,80.1556572,Ice Cream,4.6,8,"Rajakilpakkam, Chennai, Tamil Nadu",090479 88767,"In-store shopping,In-store pick-up"
"Madurai Famous Jigarthanda LLP - since 1977 Thiruporur, Tamil Nadu",12.7268604,80.1883765,Ice Cream,5,5,"Thiruporur, Tamil Nadu",090479 88767,Delivery
"Madurai Famous Jigarthanda LLP - Since 1977 Sriperumbudur, Tamil Nadu",9.9252007,78.1197754,Ice Cream,5,4,"Sriperumbudur, Tamil Nadu",090422 78025,"Dine-in,Takeaway"
"Ramee Mall Chennai, Tamil Nadu",13.0431252,80.2484821,Shopping mall,3.8,7900,"Chennai, Tamil Nadu",,
"SARATHAS Theppakulam, Tamil Nadu",10.8265263,78.69633,Clothing store,4.2,15000,"Theppakulam, Tamil Nadu",063839 80025,
"Nellai Stores Chennai, Tamil Nadu",13.0843007,80.2704622,General store,4.2,319,"Chennai, Tamil Nadu",090949 61126,
"Mani Kadai Chennai, Tamil Nadu",12.9213221,80.1137026,Indian grocery store,4.1,38,"Chennai, Tamil Nadu",,Delivery
"Parasakthi Departmental Store Chennai, Guduvancheri, Tamil Nadu",12.8474361,80.0625766,Grocery store,4.1,623,"Chennai, Guduvancheri, Tamil Nadu",088831 00007,
"Madurai Famous Jigarthanda - Pammal Chennai, Tamil Nadu",12.9768638,80.142379,Ice Cream,4,12,"Chennai, Tamil Nadu",070129 25315,Delivery
"Saravana Stores Elite Gold - Tambaram Chennai, Tamil Nadu",12.9343267,80.1250274,Jewelry store,4.8,19000,"Chennai, Tamil Nadu",044 2241 6060,Delivery
"Danish Display Kodaikanal, Tamil Nadu",10.2357213,77.493226,Craft store,4.3,640,"Kodaikanal, Tamil Nadu",098421 42495,"In-store pick-up,Delivery"
"Lifestyle Stores Chennai, Tamil Nadu",13.0843007,80.2704622,Clothing store,4.1,783,"Chennai, Tamil Nadu",1800 123 1555,"In-store pick-up,Delivery"
"Syed's muttai mittai Chengalpattu, Tamil Nadu",12.7179386,79.98126,Sweet shop,4.4,99,"Chengalpattu, Tamil Nadu",,
"Madurai Famous Jigarthanda LLP - Since 1977 Chennai, Tamil Nadu",13.0843007,80.2704622,Ice Cream,4.2,5,"Chennai, Tamil Nadu",090479 88767,"Dine-in,Kerbside pickup"
"GOLDEN TEX Chennai, Tamil Nadu",13.0510664,80.0954275,Clothing store,4.1,248,"Chennai, Tamil Nadu",075500 26989,Delivery
"Best Choice Store Kattankulathur, Tamil Nadu",12.8088576,80.0286556,Shopping mall,5,2,"Kattankulathur, Tamil Nadu",,
"Nalam Angadi Chennai, Tamil Nadu",12.9421807,80.1423709,Grocery store,4,326,"Chennai, Tamil Nadu",044 2223 3555,"In-store shopping,In-store pick-up"
"Budget Fashions Guduvancheri, Tamil Nadu",12.8320904,80.0711208,Clothing supplier,4.9,273,"Guduvancheri, Tamil Nadu",090927 09709,"In-store shopping,In-store pick-up"
"Aaladipattiyan Karupatti coffee Chennai, Tamil Nadu",12.871314,80.0767364,Coffee shop,4.3,2400,"Chennai, Tamil Nadu",,"Dine-in,Drive-through"
"Chandra Metro Mall Chennai, Tamil Nadu",13.0467637,80.1904012,Shopping mall,4,14000,"Chennai, Tamil Nadu",097899 37575,
"Amaravathi Sweets And Snacks Guduvancheri, Tamil Nadu",12.8466286,80.0620498,Sweet shop,4.4,457,"Guduvancheri, Tamil Nadu",098402 49774,Delivery
"Amaravathi Sweets And Snacks Guduvancheri, Tamil Nadu",12.8466286,80.0620498,Sweet shop,4.4,457,"Guduvancheri, Tamil Nadu",098402 49774,Delivery
"Madurai Famous Jigarthanda LLP - Since 1977 Kanchipuram, Tamil Nadu",12.8372508,79.7041749,Ice Cream,1.7,3,"Kanchipuram, Tamil Nadu",088253 09005,"Dine-in,Drive-through"
"VR Chennai Chennai, Tamil Nadu",13.0805465,80.197132,Shopping mall,4.5,87000,"Chennai, Tamil Nadu",044 6670 5555,
Sri Krishna Sweets Tamil Nadu,11.1271225,78.6568942,Sweet shop,4,709,Tamil Nadu,1800 890 2202,
"Sakyaa Chennai, Tamil Nadu",12.9219658,80.162808,Boutique,4.8,154,"Chennai, Tamil Nadu",073054 75599,"In-store shopping,In-store pick-up"
"Madurai Famous Jigarthanda LLP - Since 1977 Chengalpattu, Tamil Nadu",12.5268336,80.0087746,Ice Cream,,,"Chengalpattu, Tamil Nadu",098948 57793,"Dine-in,Takeaway"
"Madurai Famous Jigarthanda LLP - Since 1977 Chennai, Tamil Nadu",13.0843007,80.2704622,Ice Cream,,,"Chennai, Tamil Nadu",,"Dine-in,Takeaway"
"The Raymond shop Chennai, Tamil Nadu",13.0843007,80.2704622,Clothing store,3.8,417,"Chennai, Tamil Nadu",044 2241 6634,"In-store shopping,Delivery"
"PROZONE MALL Coimbatore, Tamil Nadu",11.0547682,76.9941106,Shopping mall,4.3,47000,"Coimbatore, Tamil Nadu",0422 662 8111,
"GRT Jewellers, Tambaram Chennai, Tamil Nadu",12.935354,80.1260821,Jewelry store,4.8,64000,"Chennai, Tamil Nadu",044 2221 1515,
"Madurai Famous Jigarthanda LLP - Since 1977 Chengalpattu, Tamil Nadu",12.5268336,80.0087746,Ice Cream,,,"Chengalpattu, Tamil Nadu",088253 09005,"Dine-in,Drive-through"
"Madurai Famous Jigarthanda LLP - Since 1977 Thoraipakkam, Tamil Nadu",12.9489368,80.1920373,Ice Cream,1,3,"Thoraipakkam, Tamil Nadu",090479 88767,"Kerbside pickup,Delivery"
"RAJA STORE PERAMBALUR Perambalur, Tamil Nadu",11.2360838,78.8646679,Saree Shop,3.9,305,"Perambalur, Tamil Nadu",,"In-store shopping,Delivery"
"Rathna Stores (Gowrivakkam) Chennai, Tamil Nadu",12.9206939,80.1693436,Appliance store,4.2,404,"Chennai, Tamil Nadu",095140 51212,Delivery
"Sri Ambal Stores Chennai, Tamil Nadu",12.918724,80.195473,Appliance store,4.2,1100,"Chennai, Tamil Nadu",080727 75698,Delivery
